abbreviation,full_length,count_abbr,count_fl,abbr_mask_all_avg_per_token,abbr_seq_avg_per_token,abbr_mask_all_surprisal_mean,abbr_sequential_surprisal_mean,fl_mask_all_avg_per_token,fl_seq_avg_per_token,fl_mask_all_surprisal_mean,fl_sequential_surprisal_mean
ily,i love you,118,492,36.819644927978516,36.819644927978516,36.819644927978516,36.819644927978516,36.819644927978516,27.32428550720215,163.9457244873047,163.9457244873047
yolo,you only live once,0,3,,,,,,32.66682815551758,261.3346252441406,261.3346252441406
lmfao,laughing my fucking ass off,50,0,31.806013107299805,31.806013107299805,31.806013107299805,31.806013107299805,31.806013107299805,,,
ikr,i know right,0,1,,,,,,23.591257095336914,141.54754638671875,141.54754638671875
ofc,of course,4,101,34.395912170410156,34.395912170410156,34.395912170410156,34.395912170410156,34.395912170410156,30.318866729736328,121.27546691894531,121.27546691894531
u,you,984,13147,32.89100646972656,32.89100646972656,32.89100646972656,32.89100646972656,32.89100646972656,29.25362777709961,29.25362777709961,29.25362777709961
2,too,1078,990,30.315847396850586,30.315847396850586,30.315847396850586,30.315847396850586,30.315847396850586,31.215171813964844,31.215171813964844,31.215171813964844
2,to,1078,17872,30.315847396850586,30.315847396850586,30.315847396850586,30.315847396850586,30.315847396850586,27.9248046875,27.9248046875,27.9248046875
r,are,496,3101,35.34187698364258,35.34187698364258,35.34187698364258,35.34187698364258,35.34187698364258,35.19321823120117,35.19321823120117,35.19321823120117
abt,about,3,1224,36.99162673950195,36.99162673950195,36.99162673950195,36.99162673950195,36.99162673950195,35.65675354003906,35.65675354003906,35.65675354003906
tbh,to be honest,19,4,32.394168853759766,32.394168853759766,32.394168853759766,32.394168853759766,32.394168853759766,18.395736694335938,110.37442016601562,110.37442016601562
tbt,throwback thursday,56,13,45.41931915283203,45.41931915283203,45.41931915283203,45.41931915283203,45.41931915283203,39.51803207397461,158.07212829589844,158.07212829589844
tmb,tweet me back,0,0,,,,,,,,
tftf,thanks for the follow,0,4,,,,,,16.464704513549805,131.71763610839844,131.71763610839844
smh,shaking my head,17,0,33.712772369384766,33.712772369384766,33.712772369384766,33.712772369384766,33.712772369384766,,,
prt,please retweet,0,0,,,,,,,,
rt,retweet,80,1,35.856346130371094,35.856346130371094,35.856346130371094,35.856346130371094,35.856346130371094,47.43865966796875,47.43865966796875,47.43865966796875
nts,note to self,0,7,,,,,,34.022727966308594,204.13636779785156,204.13636779785156
mtf,more to follow,0,0,,,,,,,,
mrt,modified retweet,2,0,41.32835388183594,41.32835388183594,165.31341552734375,165.31341552734375,165.31341552734375,,,
kk,okay,21,90,39.979183197021484,39.979183197021484,39.979183197021484,39.979183197021484,39.979183197021484,34.18905258178711,34.18905258178711,34.18905258178711
imo,in my opinion,11,2,30.29107093811035,30.29107093811035,30.29107093811035,30.29107093811035,30.29107093811035,22.655302047729492,135.9318084716797,135.9318084716797
icymi,in case you missed it,6,5,45.8594970703125,45.8594970703125,183.43798828125,183.43798828125,183.43798828125,35.530052185058594,355.30047607421875,355.30047607421875
ic,i see,93,110,31.27973747253418,31.27973747253418,31.27973747253418,31.27973747253418,31.27973747253418,32.643585205078125,130.5743408203125,130.5743408203125
ht,hat tip,5,1,28.495019912719727,28.495019912719727,28.495019912719727,28.495019912719727,28.495019912719727,34.054447174072266,136.21778869628906,136.21778869628906
ftw,for the win,11,11,31.78257942199707,31.78257942199707,31.78257942199707,31.78257942199707,31.78257942199707,19.655454635620117,117.9327392578125,117.9327392578125
ftl,for the loss,1,1,37.999366760253906,37.999366760253906,151.99746704101562,151.99746704101562,151.99746704101562,16.450864791870117,98.70518493652344,98.70518493652344
fomo,fear of missing out,2,0,40.31615447998047,40.31615447998047,161.26461791992188,161.26461791992188,161.26461791992188,,,
fab,fabulous,39,109,39.79595947265625,39.79595947265625,39.79595947265625,39.79595947265625,39.79595947265625,38.50115966796875,38.50115966796875,38.50115966796875
eml,email,0,36,,,,,,35.97604751586914,35.97604751586914,35.97604751586914
ema,email address,12,0,38.496925354003906,38.496925354003906,38.496925354003906,38.496925354003906,38.496925354003906,,,
deets,details,3,127,37.82053756713867,37.82053756713867,37.82053756713867,37.82053756713867,37.82053756713867,37.7801628112793,37.7801628112793,37.7801628112793
cr8,create,1,63,24.711793899536133,24.711793899536133,98.84717559814453,98.84717559814453,98.84717559814453,33.61265563964844,33.61265563964844,33.61265563964844
clk,click,0,102,,,,,,42.33045196533203,42.33045196533203,42.33045196533203
cld,could,0,695,,,,,,31.940113067626953,31.940113067626953,31.940113067626953
chk,check,1,592,19.683494567871094,19.683494567871094,78.73397827148438,78.73397827148438,78.73397827148438,42.37575912475586,42.37575912475586,42.37575912475586
btw,by the way,26,9,35.83385467529297,35.83385467529297,35.83385467529297,35.83385467529297,35.83385467529297,26.82268524169922,160.9361114501953,160.9361114501953
br,best regards,11,1,38.661861419677734,38.661861419677734,38.661861419677734,38.661861419677734,38.661861419677734,45.288673400878906,181.15469360351562,181.15469360351562
bgd,background,0,32,,,,,,33.26092529296875,33.26092529296875,33.26092529296875
bfn,bye for now,0,2,,,,,,31.905582427978516,191.43350219726562,191.43350219726562
b4,before,7,637,38.30261993408203,38.30261993408203,38.30261993408203,38.30261993408203,38.30261993408203,35.93694305419922,35.93694305419922,35.93694305419922
bc,because,141,615,31.605274200439453,31.605274200439453,31.605274200439453,31.605274200439453,31.605274200439453,34.637454986572266,34.637454986572266,34.637454986572266
